#;Categoria;Nome do táxon (com autoria);Nome em Português;English Name;Vasante  Julho /2023;;;;;;;;;;;;;;;;Seca  Outubro /2023;;;;;;;;;;;;;;;Enchente Março de 2024;;;;;;;;;;;;;;Cheia Dezembro 2024;;;;;;;;;;;;;;;;
;;;;;FOAD;B. sonhos;estrada (mata+comunidade);Sinhá mariana (indo para corixo Leme);Corixo Leme; Rio II                                         Estirão Cumprido/Porto Brandão;;Rio I                       Poço/ Barão;;Mané-Isaque;Rio III              Cuiabá-Mirim;Sinhá Mariana- Mutum;Rio Mutum;Corixo do Mato;Chacororé cidade;Total 1ª Coleta;FOAD;B. sonhos;estrada (mata+comunidade);Chacororé - Sinhá Mariana;Corixo Leme; Rio II                                                     Porto Brandão/ Estirão Cumprido;Rio III;;Mané-Isaque;Rio I;Sinhá Mariana- Mutum;Rio Mutum;Corixo do Mato;Chacororé;Total 2º Coleta;FOAD;B. sonhos;estrada (mata+comunidade);Chacororé - Sinhá Mariana;Corixo Leme;Rio III;Rio II;Rio I;Mané-Isaque;Sinhá Mariana- Mutum;Rio Mutum;Corixo do Mato;Chacororé;Total 3º Coleta;FOAD;B. sonhos;estrada (mata+comunidade);Chacororé - Sinhá Mariana;Corixo Leme;Rio III;Rio II;Rio I;Mané-Isaque;Sinhá Mariana- Mutum;Rio Mutum;Corixo do Mato;Chacororé;Total 4º Coleta;;;
1;Ordem;Rheiformes Forbes, 1884;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;0;;;;;;;;;;;;;;0;;;
2;Família;Rheidae Bonaparte, 1849;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;0;;;;;;;;;;;;;;0;;;
3;Gênero;Rhea Brisson, 1760;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;0;;;;;;;;;;;;;;0;;;
4;Espécie;Rhea americana (Linnaeus, 1758);ema;Greater Rhea;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;0;;;;;;;;;;;;;;0;;;
8;Ordem;Tinamiformes Huxley, 1872;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;0;;;;;;;;;;;;;;0;;;
9;Família;Tinamidae Gray, 1840;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;0;;;;;;;;;;;;;;0;;;
10;Gênero;Tinamus Hermann, 1783;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;0;;;;;;;;;;;;;;0;;;
11;Espécie;Tinamus tao Temminck, 1815;azulona;Gray Tinamou;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;0;;;;;;;;;;;;;;0;;;
14;Espécie;Tinamus solitarius (Vieillot, 1819);macuco;Solitary Tinamou;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;0;;;;;;;;;;;;;;0;;;
15;Espécie;Tinamus major (Gmelin, 1789);inhambu-serra;Great Tinamou;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;0;;;;;;;;;;;;;;0;;;
