#,Categoria,Nome_do_taxon_(com_autoria),Nome_em_Portugues,English_Name,Vasante__Julho_/2023,,,,,,,,,,,,,,,,Seca__Outubro_/2023,,,,,,,,,,,,,,,Enchente_Marco_de_2024,,,,,,,,,,,,,,Cheia_Dezembro_2024,,,,,,,,,,,,,
,,,,,FOAD,B._sonhos,estrada_(mata+comunidade),Sinha_mariana_(indo_para_corixo_Leme),Corixo_Leme,_Rio_II_________________________________________Estirao_Cumprido/Porto_Brandao,,Rio_I_______________________Poco/_Barao,,Mane_Isaque,Rio_III______________Cuiaba_Mirim,Sinha_Mariana__Mutum,Rio_Mutum,Corixo_do_Mato,Chacorore_cidade,Total_1ª_Coleta,FOAD,B._sonhos,estrada_(mata+comunidade),Chacorore___Sinha_Mariana,Corixo_Leme,_Rio_II_____________________________________________________Porto_Brandao/_Estirao_Cumprido,Rio_III,,Mane_Isaque,Rio_I,Sinha_Mariana__Mutum,Rio_Mutum,Corixo_do_Mato,Chacorore,Total_2º_Coleta,FOAD,B._sonhos,estrada_(mata+comunidade),Chacorore___Sinha_Mariana,Corixo_Leme,Rio_III,Rio_II,Rio_I,Mane_Isaque,Sinha_Mariana__Mutum,Rio_Mutum,Corixo_do_Mato,Chacorore,Total_3º_Coleta,FOAD,B._sonhos,estrada_(mata+comunidade),Chacorore___Sinha_Mariana,Corixo_Leme,Rio_III,Rio_II,Rio_I,Mane_Isaque,Sinha_Mariana__Mutum,Rio_Mutum,Corixo_do_Mato,Chacorore,Total_4º_Coleta
1,Ordem,Rheiformes_Forbes_1884,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,0,,,,,,,,,,,,,,0
2,Familia,Rheidae_Bonaparte_1849,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,0,,,,,,,,,,,,,,0
3,Genero,Rhea_Brisson_1760,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,0,,,,,,,,,,,,,,0
4,Especie,Rhea_americana_(Linnaeus_1758),ema,Greater_Rhea,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,0,,,,,,,,,,,,,,0
8,Ordem,Tinamiformes_Huxley_1872,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,0,,,,,,,,,,,,,,0
9,Familia,Tinamidae_Gray_1840,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,0,,,,,,,,,,,,,,0
10,Genero,Tinamus_Hermann_1783,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,0,,,,,,,,,,,,,,0
11,Especie,Tinamus_tao_Temminck_1815,azulona,Gray_Tinamou,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,0,,,,,,,,,,,,,,0
14,Especie,Tinamus_solitarius_(Vieillot_1819),macuco,Solitary_Tinamou,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,0,,,,,,,,,,,,,,0
15,Especie,Tinamus_major_(Gmelin_1789),inhambu_serra,Great_Tinamou,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,0,,,,,,,,,,,,,,0
20,Especie,Tinamus_guttatus_Pelzeln_1863,inhambu_galinha,White_throated_Tinamou,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,0,,,,,,,,,,,,,,0
21,Genero,Crypturellus_Brabourne_&_Chubb_1914,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,0,,,,,,,,,,,,,,0
22,Especie,Crypturellus_cinereus_(Gmelin_1789),inhambu_pixuna,Cinereous_Tinamou,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,0,,,,,,,,,,,,,,0
23,Especie,Crypturellus_soui_(Hermann_1783),tururim,Little_Tinamou,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,0,,,,,,,,,,,,,,0
27,Especie,Crypturellus_obsoletus_(Temminck_1815),inhambuguacu,Brown_Tinamou,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,0,,,,,,,,,,,,,,0
32,Especie,Crypturellus_undulatus_(Temminck_1815),jao,Undulated_Tinamou,,,,,,,,,,,,,,,,0,,2,,,,,,,,,,,,,2,,,,,,,,,,,,2,,2,,,,,,,,,,,,,,0
38,Especie,Crypturellus_strigulosus_(Temminck_1815),inhambu_relogio,Brazilian_Tinamou,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,0,,,,,,,,,,,,,,0
39,Especie,Crypturellus_duidae_Zimmer_1938,inhambu_de_pe_cinza,Gray_legged_Tinamou,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,0,,,,,,,,,,,,,,0
40,Especie,Crypturellus_erythropus_(Pelzeln_1863),inhambu_de_perna_vermelha,Red_legged_Tinamou,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,0,,,,,,,,,,,,,,0
42,Especie,Crypturellus_zabele_(Spix_1825),zabele,Zabele_Tinamou,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,0,,,,,,,,,,,,,,0
43,Especie,Crypturellus_noctivagus_(Wied_1820),jao_do_sul,Yellow_legged_Tinamou,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,0,,,,,,,,,,,,,,0
44,Especie,Crypturellus_atrocapillus_(Tschudi_1844),inhambu_de_coroa_preta,Black_capped_Tinamou,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,0,,,,,,,,,,,,,,0
47,Especie,Crypturellus_variegatus_(Gmelin_1789),inhambu_anhanga,Variegated_Tinamou,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,0,,,,,,,,,,,,,,0
48,Especie,Crypturellus_brevirostris_(Pelzeln_1863),inhambu_carijo,Rusty_Tinamou,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,0,,,,,,,,,,,,,,0
49,Especie,Crypturellus_bartletti_(Sclater_&_Salvin_1873),inhambu_anhangai,Bartlett's_Tinamou,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,0,,,,,,,,,,,,,,0
50,Especie,Crypturellus_parvirostris_(Wagler_1827),inhambu_chororo,Small_billed_Tinamou,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,0,,,,,,,,,,,,,,0
