Especie,estrada_(mata_+_comunidade)___Vasante,FOAD_Vasante,B._sonhos_vasante,Sia_mariana__corixo_Leme__vasante,Corixo_Leme_vasante,Rio_III_vasante,RioII_vasante,Rio_I_vasante,Mane_Isaque_vasante,Sia_Mariana__Mutum_vasante,Rio_Mutum_vasante,Corixo_do_Mato_vasante,Chacorore__vasante,Total_1º_coleta/_Vazante,estrada_(mata_+_comunidade)_seca,FOAD_seca,B._sonhos_seca,Sia_Mariana__corixo_do_leme_seca,Corixo_Leme_seca,Rio_III_seca,_Rio_II_seca,Rio_I_seca,Mane_Isaque_seca,Sia_Mariana__Mutum_seca,Rio_Mutum_seca,Corixo_do_Mato_seca,Chacorore_seca,Total_2º_coleta/_Seca,estrada_(mata_+_comunidade)_enchente,FOAD_enchente,B._sonhos_enchente,Sia_Mariana___Corixo_do_Leme_enchente,Corixo_Leme_enchente,Rio_III_enchente,Rio_II_enchente,Rio_I_enchente,Mane_Isaque_enchente,Sia_Mariana__Mutum_enchente,Rio_Mutum_enchente,Corixo_do_Mato_enchente,Chacorore_enchente,Total_3º_coleta/_enchente,estrada_(mata_+_comunidade)_cheia,FOAD_cheia,B._sonhos_cheia,Sia_Mariana___Corixo_do_leme_cheia,Corixo_Leme_cheia,Rio_III_cheia,Rio_II_cheia,Rio_I_cheia,Mane_Isaque_cheia,Sia_Mariana__Mutum_cheia,Rio_Mutum_cheia,Corixo_do_Mato_cheia,Chacorore_cheia,Total_4º_coleta/_Cheia,Total
Crypturellus_undulatus_(Temminck_1815),,,,,,,,,,,,,,0,,,2,,,,,,,,,,,2,,,,,,,,,,,,2,,2,,,,,,,,,,,,,,0,4
Anhima_cornuta_(Linnaeus_1766),,,,,,,,,,,,,,0,,,,,,,,2,,,2,,7,11,,,,,,,1,,,,,,,1,,,,,,,,,,,,,,0,12
Chauna_torquata_(Oken_1816),,,,,,,,,,,,,,0,,,2,,,,,,2,,,,,4,,,3,,,,,2,,,,3,2,10,,,2,,1,,,,,,,,,3,17
Dendrocygna_bicolor_(Vieillot_1816),,,2,,,,,,,,,,,2,,,,,,,,,,,,,,0,,,,,,,,,,,,,,0,,,,,,,,,,,,,,0,2
Dendrocygna_viduata_(Linnaeus_1766),,,36,25,,,,,,,,3,3,67,,,,,,,,,,12,5,,140,157,,,8,,,,,,,,2,,,10,,,7,,,,,,,13,,,3,23,257
Dendrocygna_autumnalis_(Linnaeus_1758),,,61,,,,,,,,,,,61,,,,,,,37,,,1,,,16,54,,16,44,348,,9,,,,,4,0,62,483,,6,52,,,,2,,,5,2,,12,79,677
Cairina_moschata_(Linnaeus_1758),,,,,,,,,,,5,,,5,,,,,,,,,,,4,,,4,,,,,,,,,,,,,,0,,,,,,,,,,,2,,,2,11
Amazonetta_brasiliensis_(Gmelin_1789),,,,,,,,,,,,,3,3,,2,,,,,,,,23,,,,25,,3,3,,,,,,,,,,,6,,,,,,,,,,3,,,,3,37
Anas_bahamensis_Linnaeus_1758,,,,,,,,,,,,,,0,,,,,,,,,,2,,,,2,,,,,,,,,,,,,,0,,,,,,,,,,,,,,0,2
Penelope_ochrogaster_Pelzeln_1870,,,,,,,,,,,,,,0,,,,,,,,,,,2,,,2,,,,,1,,,,,,5,,,6,,,,,,,,,,,,,,0,8
