Especie,estrada_(mata_+_comunidade)___Vasante,FOAD_Vasante,B._sonhos_vasante,Sia_mariana__corixo_Leme__vasante,Corixo_Leme_vasante,Rio_III_vasante,RioII_vasante,Rio_I_vasante,Mane_Isaque_vasante,Sia_Mariana__Mutum_vasante,Rio_Mutum_vasante,Corixo_do_Mato_vasante,Chacorore__vasante,Total_1º_coleta/_Vazante,estrada_(mata_+_comunidade)_seca,FOAD_seca,B._sonhos_seca,Sia_Mariana__corixo_do_leme_seca,Corixo_Leme_seca,Rio_III_seca,_Rio_II_seca,Rio_I_seca,Mane_Isaque_seca,Sia_Mariana__Mutum_seca,Rio_Mutum_seca,Corixo_do_Mato_seca,Chacorore_seca,Total_2º_coleta/_Seca,estrada_(mata_+_comunidade)_enchente,FOAD_enchente,B._sonhos_enchente,Sia_Mariana___Corixo_do_Leme_enchente,Corixo_Leme_enchente,Rio_III_enchente,Rio_II_enchente,Rio_I_enchente,Mane_Isaque_enchente,Sia_Mariana__Mutum_enchente,Rio_Mutum_enchente,Corixo_do_Mato_enchente,Chacorore_enchente,Total_3º_coleta/_enchente,estrada_(mata_+_comunidade)_cheia,FOAD_cheia,B._sonhos_cheia,Sia_Mariana___Corixo_do_leme_cheia,Corixo_Leme_cheia,Rio_III_cheia,Rio_II_cheia,Rio_I_cheia,Mane_Isaque_cheia,Sia_Mariana__Mutum_cheia,Rio_Mutum_cheia,Corixo_do_Mato_cheia,Chacorore_cheia,Total_4º_coleta/_Cheia,Total
Crypturellus_undulatus_(Temminck_1815),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
Anhima_cornuta_(Linnaeus_1766),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,7,11,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12
Chauna_torquata_(Oken_1816),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2,0,0,0,0,4,0,0,3,0,0,0,0,2,0,0,0,3,2,10,0,0,2,0,1,0,0,0,0,0,0,0,0,3,17
Dendrocygna_bicolor_(Vieillot_1816),0,0,2,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
Dendrocygna_viduata_(Linnaeus_1766),0,0,36,25,0,0,0,0,0,0,0,3,3,67,0,0,0,0,0,0,0,0,0,12,5,0,140,157,0,0,8,0,0,0,0,0,0,0,2,0,0,10,0,0,7,0,0,0,0,0,0,13,0,0,3,23,257
Dendrocygna_autumnalis_(Linnaeus_1758),0,0,61,0,0,0,0,0,0,0,0,0,0,61,0,0,0,0,0,0,37,0,0,1,0,0,16,54,0,16,44,348,0,9,0,0,0,0,4,0,62,483,0,6,52,0,0,0,2,0,0,5,2,0,12,79,677
Cairina_moschata_(Linnaeus_1758),0,0,0,0,0,0,0,0,0,0,5,0,0,5,0,0,0,0,0,0,0,0,0,0,4,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,11
Amazonetta_brasiliensis_(Gmelin_1789),0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,2,0,0,0,0,0,0,0,23,0,0,0,25,0,3,3,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,3,0,0,0,3,37
Anas_bahamensis_Linnaeus_1758,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
Penelope_ochrogaster_Pelzeln_1870,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,0,1,0,0,0,0,0,5,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8
Aburria_cumanensis_(Jacquin_1784),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,1,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6
Aburria_cujubi_(Pelzeln_1858),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,1,0,0,0,0,2,0,0,14,0,0,0,0,5,2,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,1,0,0,0,1,22
Ortalis_canicollis_(Wagler_1830),3,0,12,0,0,3,12,8,0,0,2,0,0,40,0,5,10,4,0,15,10,1,2,0,3,0,5,55,0,8,11,0,4,1,1,2,2,0,0,0,8,37,0,6,7,0,0,5,1,0,0,0,1,0,0,20,152
Crax_fasciolata_Spix_1825,2,0,0,0,0,0,0,0,0,0,0,0,0,2,4,2,4,3,0,0,0,0,0,0,0,0,0,13,0,2,0,0,0,0,2,0,0,0,2,0,0,6,0,0,0,0,0,0,0,0,0,0,2,0,0,2,23
Patagioenas_speciosa_(Gmelin_1789),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,2,4
Patagioenas_picazuro_(Temminck_1813),0,0,19,0,0,0,8,5,1,3,27,4,9,76,0,0,0,5,2,1,0,0,0,36,19,0,0,63,0,0,4,0,0,2,11,1,0,2,6,1,0,27,0,2,0,0,0,0,0,0,1,1,2,0,0,6,172
Patagioenas_cayennensis_(Bonnaterre_1792),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,2,0,0,0,0,0,0,1,0,0,0,1,1,0,3,0,0,0,0,0,0,0,0,0,0,2,0,0,2,7
Geotrygon_montana_(Linnaeus_1758),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Leptotila_verreauxi_Bonaparte_1855,0,1,0,0,0,0,1,0,0,0,2,0,5,9,1,6,8,0,0,4,0,6,1,0,0,0,2,28,0,4,0,0,0,0,1,0,1,0,9,0,1,16,0,5,0,0,0,0,0,0,0,0,3,0,0,8,61
Leptotila_rufaxilla_(Richard_&_Bernard_1792),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,2,0,2,0,0,0,2,0,0,0,0,1,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7
Zenaida_auriculata_(Des_Murs_1847),0,0,0,0,0,0,0,1,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,8,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3,0,0,4,14
Claravis_pretiosa_(Ferrari_Perez_1886),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
Uropelia_campestris_(Spix_1825),0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Columbina_minuta_(Linnaeus_1766),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
Columbina_talpacoti_(Temminck_1811),0,2,0,0,0,0,3,12,8,0,0,0,44,69,7,1,10,0,0,1,20,26,3,0,0,0,15,83,7,6,0,0,0,6,1,0,1,1,33,0,16,71,5,1,2,0,1,5,0,0,2,0,3,0,0,19,242
Columbina_squammata_(Lesson_1831),0,3,0,0,0,2,0,0,1,0,0,0,0,6,0,0,0,0,0,0,2,0,1,0,0,0,0,3,0,1,2,0,0,5,1,2,0,0,0,0,10,21,2,0,3,0,0,0,0,0,0,0,1,0,0,6,36
Columbina_picui_(Temminck_1813),0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,5,8,1,0,0,0,0,0,0,0,0,0,0,0,3,4,0,2,0,0,0,0,0,0,0,0,0,0,0,2,14
