"","Pontos","Righness","Shannon","Simpson","Evenness","Berger_Parker"
"1","Crypturellus_undulatus_(Temminck_1815)",5,1.561,0.778,0.97,0.333
"2","Anhima_cornuta_(Linnaeus_1766)",7,1.567,0.75,0.805,0.333
"3","Chauna_torquata_(Oken_1816)",12,2.097,0.826,0.844,0.333
"4","Dendrocygna_bicolor_(Vieillot_1816)",3,1.099,0.667,1,0.333
"5","Dendrocygna_viduata_(Linnaeus_1766)",17,1.964,0.802,0.693,0.333
"6","Dendrocygna_autumnalis_(Linnaeus_1758)",21,1.992,0.796,0.654,0.333
"7","Cairina_moschata_(Linnaeus_1758)",7,1.789,0.806,0.92,0.333
"8","Amazonetta_brasiliensis_(Gmelin_1789)",11,1.844,0.788,0.769,0.333
"9","Anas_bahamensis_Linnaeus_1758",3,1.099,0.667,1,0.333
"10","Penelope_ochrogaster_Pelzeln_1870",6,1.586,0.767,0.885,0.333
"11","Aburria_cumanensis_(Jacquin_1784)",6,1.6,0.772,0.893,0.333
"12","Aburria_cujubi_(Pelzeln_1858)",10,1.83,0.797,0.795,0.333
"13","Ortalis_canicollis_(Wagler_1830)",33,2.564,0.852,0.733,0.333
"14","Crax_fasciolata_Spix_1825",14,2.181,0.83,0.826,0.333
"15","Patagioenas_speciosa_(Gmelin_1789)",7,1.792,0.806,0.921,0.333
"16","Patagioenas_picazuro_(Temminck_1813)",29,2.339,0.838,0.695,0.333
"17","Patagioenas_cayennensis_(Bonnaterre_1792)",10,2.041,0.83,0.886,0.333
"18","Geotrygon_montana_(Linnaeus_1758)",3,1.099,0.667,1,0.333
"19","Leptotila_verreauxi_Bonaparte_1855",23,2.39,0.844,0.762,0.333
"20","Leptotila_rufaxilla_(Richard_&_Bernard_1792)",8,1.815,0.798,0.873,0.333
"21","Zenaida_auriculata_(Des_Murs_1847)",9,1.822,0.798,0.829,0.333
"22","Claravis_pretiosa_(Ferrari_Perez_1886)",4,1.311,0.716,0.946,0.333
"23","Uropelia_campestris_(Spix_1825)",3,1.099,0.667,1,0.333
"24","Columbina_minuta_(Linnaeus_1766)",3,1.099,0.667,1,0.333
"25","Columbina_talpacoti_(Temminck_1811)",33,2.447,0.847,0.7,0.333
"26","Columbina_squammata_(Lesson_1831)",19,2.253,0.83,0.765,0.333
